,lc,li,lg,st,eg,sg,rc,roe,roic,margem_liq,ev_ebitda,p_l,retorno,volatilidade,alpha,caixa,ebitda_m,lucro_m,upside
ABEV3,0.9621987456958502,0.40873928193689435,1.1431937778502308,19152.595,0.38812789149054283,2.576470338577474,0.6343284586644038,0.1801010694692674,0.32604125857953,0.18118751145069414,6.4438,13.143,29.28088597575379,26.61098297933889,-16.751651297097055,18638.228,39874144.4687917,15988.433,-81.1
AMER3,1.6661663807890223,0.1884648370497427,1.028981723237598,1054.0,0.7071204381808112,1.4141862489120975,2.4143727673881066,-0.05694473628913637,0.058070175438596494,-0.022023567655424625,4.1536,-1.2635,-99.93504503830168,131.68236752490205,-145.9675823111525,879.0,242921.6643273305,-271.0,460.9
ASAI3,1.0584527561396206,0.34810013676636736,0.4804712450616262,4135.0,0.883868269733403,1.1313903148730808,7.610911055095427,0.08948505581562838,0.22645165322832678,0.00642891329375089,3.6864,10.6402,-47.18998168788522,46.83757278734297,-93.22251896073607,5854.0,3343415.2474338105,497.0,158.2
