,ABEV3,AMER3,ASAI3
Conservador,2.6333333333333337,1.7,1.6666666666666665
Moderado (Balanced),2.5333333333333337,1.5999999999999999,1.8666666666666667
Agressivo (Crescimento),2.4333333333333336,1.4999999999999998,2.0666666666666664
